SKU,Title,Description,Image,Category,Brand,Price,Stock
2004-1207,"50x 2-conductor ground terminal block; 4 mm²; suitable for Ex e II applications; side and center marking; for DIN-rail 35 x 15 and 35 x 7.5; Push-in CAGE CLAMP®; 4,00 mm²; green-yellow","The Series 2004 enables easy connection of solid-core and flexible wiring with crimping wire-end sleeved conductors.
",https://www.wago.com/medias/1024-0200003200030890000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3w3NjUxM3xpbWFnZS9qcGVnfGgzNi9oZWEvMTI4NzY1NzYzOTExOTgvMTAyNF8wMjAwMDAzMjAwMDMwODkwMDAwMTAwYjZfREUuanBnfGI0YzZiOTZhZWM2YTY1NGQyZTAzM2I1Nzc0OTk4ZDBhZmZkZmRlNWFhNDkzYjM1ZTc4MjYzM2NhZTIxM2JlNzU|https://www.wago.com/medias/1024-020000040001d956000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wyODczMXxpbWFnZS9qcGVnfGhmYS9oY2MvMTI4NzY5NDAzMTI2MDYvMTAyNF8wMjAwMDAwNDAwMDFkOTU2MDAwMTAwYjZfREUuanBnfDA4YmE1Y2VlNDk2NzI2Njc5MzA4ZTMzYWQ0NzhmM2E3NDJjZWU1MzM3MTNhMGQ4YjFiODJmZjY4OTc0M2U3OTQ|https://www.wago.com/medias/1024-020000190002d8c7000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wxNjcxfGltYWdlL2pwZWd8aGExL2g0OS8xMjU3MTUzNTQwOTE4Mi8xMDI0XzAyMDAwMDE5MDAwMmQ4YzcwMDAxMDBiNl9ERS5qcGd8NzQ3YmQ5NDUyZDgyOGFkYzIyNjU3Y2ZlMGRhOTAwYjIzYWU0MjYwMTdmNzAxYTUyZGM0NmExMWZkYTM3ZWQ1Yg,Rail-Mount Terminal Blocks,Wago,123,110
2002-2291,25x End and intermediate plate; 0.8 mm thick; gray,,https://www.wago.com/medias/1024-020000040001c507000200b6-DE.jpg?context=bWFzdGVyfGltYWdlc3w0MjAxfGltYWdlL2pwZWd8aDJlL2hmYS8xMjg3Njc4ODIwMzU1MC8xMDI0XzAyMDAwMDA0MDAwMWM1MDcwMDAyMDBiNl9ERS5qcGd8N2NiMWFkYmIyMjk4MGIwNjJlOTU1ZTIyMDA4MGI1M2UyYjBjMDg5M2FjYTY1OWI5ZTQzNTE5N2M4NTJhNmEzNw,Rail-Mount Terminal Blocks,Wago,8.75,100
249-351,,,,Rail-Mount Terminal Blocks,Wago,,100
2016-1201,"20x 2-conductor through terminal block; 16 mm²; suitable for Ex e II applications; side and center marking; for DIN-rail 35 x 15 and 35 x 7.5; Push-in CAGE CLAMP®; 16,00 mm²; gray","The direct plug-Series 2016 protects against handling errors and allows simple plug of single-wire and stranded conductors.
",https://www.wago.com/medias/1024-0200002e0002cd0b000200b6-DE.jpg?context=bWFzdGVyfGltYWdlc3w0NTc0NHxpbWFnZS9qcGVnfGg0ZC9oYTgvMTI4Nzg5NTMyNTA4NDYvMTAyNF8wMjAwMDAyZTAwMDJjZDBiMDAwMjAwYjZfREUuanBnfDQ0YWFhOTdhNzFjOTJkMzhmYzg2N2RjNzVkMzU1YmY1MTFjYzRkNzAwMGMyMjYzOWNkODU0ZTdkZjg1MDJkNDY|https://www.wago.com/medias/1024-0200000400016c30000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wzMzI1NXxpbWFnZS9qcGVnfGhlMi9oZGQvMTI4NzY2ODY5NTA0MzAvMTAyNF8wMjAwMDAwNDAwMDE2YzMwMDAwMTAwYjZfREUuanBnfGFlMDg5NmIwZjg4MmY4YWM2NGVmYWY5NTE2ODYzNmQ5ZjU2YjlhZWEyNjAxOTNlMDY3OGRjM2JlYjVkZmRiZWQ|https://www.wago.com/medias/1024-020000190002d837000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wxNDA1fGltYWdlL2pwZWd8aDMwL2hjOS8xMjU3MTk1NzM5NTQ4Ni8xMDI0XzAyMDAwMDE5MDAwMmQ4MzcwMDAxMDBiNl9ERS5qcGd8ZDJlMDdmYmRhMTU3YTIyN2I2YmJjNTdkMzM3MDAwYzg4ZDRkNWNlNDc4NzQ3YjMwNTZkY2ZiOTJjMjhmMzc1OA,Rail-Mount Terminal Blocks,Wago,38.6,100
2006-1204,"50x 2-conductor through terminal block; 6 mm²; for Ex e II and Ex i applications; side and center marking; for DIN-rail 35 x 15 and 35 x 7.5; Push-in CAGE CLAMP®; 6,00 mm²; blue","The series 2006 enables a simple plugging of one-wired and flexible conductors equipped with crimped wire-end sleeves.
",https://www.wago.com/medias/1024-020000030003df73000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wyNTAzMnxpbWFnZS9qcGVnfGg5YS9oMzMvMTMyNDE2MzIyMjczNTgvMTAyNF8wMjAwMDAwMzAwMDNkZjczMDAwMTAwYjZfREUuanBnfDQwYThhN2U5ZDhiNzM5NTgzM2EzNjk3ZGM5OGZkNWI3ZjY0NTc2NmE0ZTNlYzA5ZDE0NmZmYWUyMzY2MDQwMmE|https://www.wago.com/medias/1024-0200000400015b38000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wzMjA0MHxpbWFnZS9qcGVnfGgxZS9oOGEvMTI4NzcwMjIxMDE1MzQvMTAyNF8wMjAwMDAwNDAwMDE1YjM4MDAwMTAwYjZfREUuanBnfDNlMjIzZDM1MzYxZTk4ZTg2MTg4MjUwYzQ5ODJlYTE0YjJmMDA0ZTg5MDA2MjNkOTQwMmVmMjBkMzdlYjRkYTg|https://www.wago.com/medias/1024-020000190002d837000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wxNDA1fGltYWdlL2pwZWd8aDMwL2hjOS8xMjU3MTk1NzM5NTQ4Ni8xMDI0XzAyMDAwMDE5MDAwMmQ4MzcwMDAxMDBiNl9ERS5qcGd8ZDJlMDdmYmRhMTU3YTIyN2I2YmJjNTdkMzM3MDAwYzg4ZDRkNWNlNDc4NzQ3YjMwNTZkY2ZiOTJjMjhmMzc1OA,Rail-Mount Terminal Blocks,Wago,64.5,100
2004-404,25x Jumper; 4-way; insulated; light gray,"Insulated jumper bar for series 2004.
",https://www.wago.com/medias/1024-020000050000cf05000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3w1ODQ3fGltYWdlL2pwZWd8aDBkL2g1Yy8xMzI0MTQ1MDg1NjQ3OC8xMDI0XzAyMDAwMDA1MDAwMGNmMDUwMDAxMDBiNl9ERS5qcGd8YzI3OTEzNTA0NjNlZGQ2Y2YyOGNhZjE1YTAyMmI0ZDMzOWJmYWJkYzNlMzk5YTVjMmU3MmUyN2QwZjQxNjMxNg,Rail-Mount Terminal Blocks,Wago,20.75,100
2004-403,25x Jumper; 3-way; insulated; light gray,"WAGO 2004-403 Jumper Bar
",https://www.wago.com/medias/1024-020000050000cf05000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3w1ODQ3fGltYWdlL2pwZWd8aDBkL2g1Yy8xMzI0MTQ1MDg1NjQ3OC8xMDI0XzAyMDAwMDA1MDAwMGNmMDUwMDAxMDBiNl9ERS5qcGd8YzI3OTEzNTA0NjNlZGQ2Y2YyOGNhZjE1YTAyMmI0ZDMzOWJmYWJkYzNlMzk5YTVjMmU3MmUyN2QwZjQxNjMxNg,Rail-Mount Terminal Blocks,Wago,13.75,100
2004-1204,"50x 2-conductor through terminal block; 4 mm²; for Ex e II and Ex i applications; side and center marking; for DIN-rail 35 x 15 and 35 x 7.5; Push-in CAGE CLAMP®; 4,00 mm²; blue","The Series 2004 enables easy connection of solid-core and flexible wiring with crimping wire-end sleeved conductors.
",https://www.wago.com/medias/1024-0200003200030a6d000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3w3OTAxOXxpbWFnZS9qcGVnfGhjOS9oN2IvMTI4NzYzNTcwNDIyMDYvMTAyNF8wMjAwMDAzMjAwMDMwYTZkMDAwMTAwYjZfREUuanBnfDJkYjQxY2UyZDQ1N2U3ZDE5ZmU0NTM3NjIzNjgxODVjODdhYjUyZDllMWY2Y2M5YzliNmI1NWM0NjQwNDUzOGY|https://www.wago.com/medias/1024-020000040001d81e000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wzMDIxOXxpbWFnZS9qcGVnfGgxYy9oOTkvMTI4NzY3NzQ1MDY1MjYvMTAyNF8wMjAwMDAwNDAwMDFkODFlMDAwMTAwYjZfREUuanBnfGE0ZmRjMzQ4OTIwMDhmZmI5MWY3ZTY2NTU5NTQwNzgxZWI2NWE3NzdjMWEwZjU1YWQwYzdiOTQwMmZjZWZkMDU|https://www.wago.com/medias/1024-020000190002d837000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wxNDA1fGltYWdlL2pwZWd8aDMwL2hjOS8xMjU3MTk1NzM5NTQ4Ni8xMDI0XzAyMDAwMDE5MDAwMmQ4MzcwMDAxMDBiNl9ERS5qcGd8ZDJlMDdmYmRhMTU3YTIyN2I2YmJjNTdkMzM3MDAwYzg4ZDRkNWNlNDc4NzQ3YjMwNTZkY2ZiOTJjMjhmMzc1OA,Rail-Mount Terminal Blocks,Wago,42,100
284-325,25x End and intermediate plate; 2.5 mm thick; gray,2.5 mm thick gray.,https://www.wago.com/medias/1024-0200000a0002a1a5000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3w2NDI2fGltYWdlL2pwZWd8aDM2L2hjZi8xMjI2NDUwMzI3OTY0Ni8xMDI0XzAyMDAwMDBhMDAwMmExYTUwMDAxMDBiNl9ERS5qcGd8ZDY5MmZhODUxZWFjYjc1ZTM2YjgwNDNhMWVjNWJjZDM5ZjE1MzIzZjc5NjAxNjFkZDdkOTMwMDVlNDgzYjNhMA,Rail-Mount Terminal Blocks,Wago,10.75,100
2010-1291,25x End and intermediate plate; 1 mm thick; gray,,https://www.wago.com/medias/1024-02000029000328f5000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wxMjA2MHxpbWFnZS9qcGVnfGhiZS9oYmMvMTI4NzgyMDAzMDc3NDIvMTAyNF8wMjAwMDAyOTAwMDMyOGY1MDAwMTAwYjZfREUuanBnfGIxMzEyYTNlZDM3ZWIwODdhZjc3MmUzNWNiMWNlMTBhYTMwYTUwOTMyNjkyM2ZmZDNmYTBiNDFmZTg1NzY3MmQ,Rail-Mount Terminal Blocks,Wago,10,81
283-907,"20x 2-conductor ground terminal block; 16 mm²; center marking; for DIN-rail 35 x 15 and 35 x 7.5; CAGE CLAMP®; 16,00 mm²; green-yellow",Green-yellow.,https://www.wago.com/medias/1024-020000040003a1c3000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wzNjA3N3xpbWFnZS9qcGVnfGhmZS9oNTgvMTI4OTg0OTE1NjQwNjIvMTAyNF8wMjAwMDAwNDAwMDNhMWMzMDAwMTAwYjZfREUuanBnfGYxZjFkYjdhNzc0YzVhZThjMTU3Mjk0NTg5ZGM0ZTkwNWI5MGMxZWMwNThiY2IyN2E4YzQ1MmNhMjE3OTM4MDA|https://www.wago.com/medias/1024-020000040003a8ff000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3w0MTI0M3xpbWFnZS9qcGVnfGg0Yy9oNzcvMTI4OTg0ODUzMzgxNDIvMTAyNF8wMjAwMDAwNDAwMDNhOGZmMDAwMTAwYjZfREUuanBnfGQ3ZTRkNDJlMWI2OTZlYjJjNGFhNDY2OTNkYmRlNTVkZjdiYTZjZTQ3MDExMmVjM2ZkMDlmMGM0MTU3MzA2Mzk|https://www.wago.com/medias/1024-0200001900030d59000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wxNTM1fGltYWdlL2pwZWd8aDZkL2hkNy8xMjU3MTk5OTIwNzQ1NC8xMDI0XzAyMDAwMDE5MDAwMzBkNTkwMDAxMDBiNl9ERS5qcGd8M2Y3NTk3NWQzMjI2M2M5YjQ3N2Q4NjAxZWJlZTRmOGVlYWRjZjk2NDM2Y2FkMDdlNGQ3MmFmZmM5YjRmZmRmYw,Rail-Mount Terminal Blocks,Wago,104.6,80
2002-405,25x Jumper; 5-way; insulated; light gray,"Isolated jumper bar for series 2002
",https://www.wago.com/medias/1024-02000016000071e1000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wzODgwN3xpbWFnZS9qcGVnfGhhZC9oMjQvMTI1NzAxMDMwMjE1OTgvMTAyNF8wMjAwMDAxNjAwMDA3MWUxMDAwMTAwYjZfREUuanBnfGZlNjQ2YjYzOWI1NTQzNTI0YzBkY2NhMTk2ODFjNDJlNTUzOWM3ZTJmYzM1ZWRlMDFkYTEyNjk5YTdjOTgwYWU,Rail-Mount Terminal Blocks,Wago,26.25,75
2006-402,25x Jumper; 2-way; insulated; light gray,"Insulated fanning strip bridge for Series 2006.
",https://www.wago.com/medias/1024-020000310001f6d6000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wzOTg0fGltYWdlL2pwZWd8aDk2L2hjYi8xMjg3NjkxMTQ3Njc2Ni8xMDI0XzAyMDAwMDMxMDAwMWY2ZDYwMDAxMDBiNl9ERS5qcGd8NTVjYzViNzk5YjA1NWI4ODE0NzdkN2YxYjg2MWE3MjQ3ZTcxNDkxYzcwMjYwMWExNzc0NjZmZTlkNzE4MzI4ZQ,Rail-Mount Terminal Blocks,Wago,10.75,75
2006-1207,"50x 2-conductor ground terminal block; 6 mm²; suitable for Ex e II applications; side and center marking; for DIN-rail 35 x 15 and 35 x 7.5; Push-in CAGE CLAMP®; 6,00 mm²; green-yellow","The series 2006 enables a simple plugging of one-wired and flexible conductors equipped with crimped wire-end sleeves.
",https://www.wago.com/medias/1024-020000030003e00c000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wyMzcxM3xpbWFnZS9qcGVnfGg0Yy9oM2QvMTMyNDE3Mjc0NTExNjYvMTAyNF8wMjAwMDAwMzAwMDNlMDBjMDAwMTAwYjZfREUuanBnfDAxYzhiNmVlM2YwMmQyYmNmMjc1ODI1YmI0MWM0NDhiZTJjYzA0NTk1ZGNkMDE4OTM0OTRjN2I0NWFkZmEyODM|https://www.wago.com/medias/1024-0200000400015c70000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wzMTYzNHxpbWFnZS9qcGVnfGgzZC9oOGUvMTIyNjUyNTg4MTE0MjIvMTAyNF8wMjAwMDAwNDAwMDE1YzcwMDAwMTAwYjZfREUuanBnfGQxZjBjZjBjZTliNDVlM2RhYjAwMWE5ZDgwNTk4MjM0YjUxM2MyZmZkMDdjNjRjNTlmNDY2YWZiOGY3MWU2ZTc|https://www.wago.com/medias/1024-020000190002d8c7000100b6-DE.jpg?context=bWFzdGVyfGltYWdlc3wxNjcxfGltYWdlL2pwZWd8aGExL2g0OS8xMjU3MTUzNTQwOTE4Mi8xMDI0XzAyMDAwMDE5MDAwMmQ4YzcwMDAxMDBiNl9ERS5qcGd8NzQ3YmQ5NDUyZDgyOGFkYzIyNjU3Y2ZlMGRhOTAwYjIzYWU0MjYwMTdmNzAxYTUyZGM0NmExMWZkYTM3ZWQ1Yg,Accessories,Wago,150,70
